,Unnamed: 0,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara,Nigeria
0,20200525,2.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,10.0,45.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,210.0,12.0,0.0,16.0,30.0,0.0,13.0,21.0,1.0,0.0,0.0,0.0,0.0,410.0
1,20200526,30.0,0.0,0.0,25.0,24.0,0.0,0.0,0.0,0.0,7.0,12.0,26.0,0.0,16.0,46.0,2.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,7.0,417.0,12.0,3.0,17.0,68.0,0.0,22.0,41.0,1.0,0.0,0.0,0.0,0.0,827.0
2,20200527,30.0,0.0,4.0,25.0,25.0,0.0,0.0,3.0,4.0,7.0,12.0,34.0,2.0,16.0,61.0,2.0,0.0,0.0,99.0,2.0,0.0,0.0,0.0,7.0,464.0,12.0,3.0,35.0,82.0,17.0,28.0,149.0,2.0,0.0,0.0,0.0,0.0,1125.0
3,20200528,30.0,0.0,4.0,25.0,26.0,0.0,0.0,4.0,4.0,7.0,32.0,43.0,6.0,33.0,110.0,30.0,12.0,0.0,110.0,3.0,0.0,0.0,0.0,25.0,551.0,13.0,3.0,45.0,90.0,25.0,37.0,168.0,14.0,0.0,0.0,0.0,0.0,1450.0
4,20200529,30.0,0.0,9.0,25.0,27.0,6.0,0.0,8.0,4.0,20.0,35.0,58.0,12.0,37.0,143.0,31.0,12.0,0.0,159.0,19.0,0.0,0.0,0.0,25.0,664.0,14.0,4.0,59.0,90.0,35.0,45.0,192.0,16.0,0.0,0.0,0.0,0.0,1779.0
5,20200530,44.0,0.0,9.0,25.0,28.0,6.0,0.0,9.0,4.0,25.0,35.0,58.0,12.0,44.0,178.0,43.0,21.0,0.0,199.0,36.0,0.0,0.0,0.0,31.0,733.0,15.0,6.0,74.0,107.0,76.0,85.0,214.0,35.0,0.0,0.0,0.0,0.0,2152.0
6,20200531,44.0,0.0,15.0,25.0,29.0,6.0,0.0,16.0,4.0,33.0,55.0,58.0,13.0,99.0,250.0,43.0,21.0,0.0,237.0,37.0,0.0,0.0,0.0,31.0,846.0,15.0,6.0,83.0,139.0,102.0,90.0,273.0,35.0,0.0,0.0,0.0,0.0,2605.0
7,20200601,63.0,0.0,15.0,39.0,30.0,6.0,21.0,16.0,4.0,50.0,73.0,59.0,24.0,99.0,290.0,47.0,27.0,0.0,252.0,46.0,0.0,0.0,0.0,48.0,963.0,16.0,6.0,102.0,174.0,126.0,93.0,273.0,63.0,0.0,3.0,0.0,0.0,3028.0
8,20200602,63.0,0.0,15.0,39.0,30.0,6.0,21.0,18.0,9.0,50.0,73.0,75.0,28.0,108.0,308.0,47.0,30.0,0.0,267.0,54.0,0.0,0.0,0.0,56.0,1045.0,16.0,6.0,111.0,179.0,126.0,112.0,355.0,68.0,0.0,3.0,0.0,0.0,3318.0
9,20200603,63.0,0.0,15.0,39.0,31.0,6.0,21.0,24.0,9.0,50.0,92.0,81.0,45.0,108.0,399.0,49.0,30.0,0.0,299.0,58.0,0.0,0.0,0.0,80.0,1152.0,19.0,6.0,141.0,179.0,129.0,120.0,436.0,68.0,0.0,6.0,0.0,0.0,3755.0
